release_build,eol_date,component,cell_value,status,source_row,source_component_col,source_cell
Release 15 | (Build 14.0.1.33397),Jun-2024,Aras Portal,,End of Life,21,T,T21
Release 15 | (Build 14.0.1.33397),Jun-2024,Office Connector,Release 14 | (14.0.1),End of Life,21,U,U21
Release 15 | (Build 14.0.1.33397),Jun-2024,Office Productivity Connector,Release 14 | (14.0.0.14),End of Life,21,V,V21
Release 15 | (Build 14.0.1.33397),Jun-2024,Workspace Productivity Connector,,End of Life,21,W,W21
Release 15 | (Build 14.0.1.33397),Jun-2024,Enterprise Search,Release 14 (14.0.1),End of Life,21,X,X21
Release 15 | (Build 14.0.1.33397),Jun-2024,3D Visualization,Release 14 (14.0.1),End of Life,21,Y,Y21
Release 15 | (Build 14.0.1.33397),Jun-2024,Process Engine,Release 18 | (14.0.1),End of Life,21,Z,Z21
Release 15 | (Build 14.0.1.33397),Jun-2024,Event Handling Framework,,End of Life,21,AA,AA21
Release 15 | (Build 14.0.1.33397),Jun-2024,Reporting,,End of Life,21,AB,AB21
Release 15 | (Build 14.0.1.33397),Jun-2024,OAuth Registry,,End of Life,21,AC,AC21
Release 15 | (Build 14.0.1.33397),Jun-2024,AI Assistant,,End of Life,21,AD,AD21
Release 15 | (Build 14.0.1.33397),Jun-2024,Import Manager,,End of Life,21,AE,AE21
Release 15 | (Build 14.0.1.33397),Jun-2024,Workflow UI,,End of Life,21,AF,AF21
Release 15 | (Build 14.0.1.33397),Jun-2024,IOM SDK,,End of Life,21,AG,AG21
Release 15 | (Build 14.0.1.33397),Jun-2024,Package Import/Export Utility,,End of Life,21,AH,AH21
Release 15 | (Build 14.0.1.33397),Jun-2024,3D Visualization,Release 19 (14.0.2)[1],End of Life,24,Y,Y24
Release 15 | (Build 14.0.1.33397),Jun-2024,3D Visualization,Release 21 (14.0.3),End of Life,27,Y,Y27
Release 15 | (Build 14.0.1.33397),Jun-2024,Enterprise Search,Release 20 (14.0.2),End of Life,30,X,X30
Release 15 | (Build 14.0.1.33397),Jun-2024,3D Visualization,Release 26 (14.0.4),End of Life,30,Y,Y30
Release 15 | (Build 14.0.1.33397),Jun-2024,3D Visualization,Release 29 (14.0.5),End of Life,33,Y,Y33
Release 15 | (Build 14.0.1.33397),Jun-2024,3D Visualization,Release 31 (14.0.6),End of Life,36,Y,Y36
Release 16 | (Build 14.0.2.33605),Jul-2024,Product Engineering,Release 14 | (14.0.1),End of Life,39,D,D39
Release 16 | (Build 14.0.2.33605),Jul-2024,Program Management,Release 14 | (14.0.1),End of Life,39,E,E39
Release 16 | (Build 14.0.2.33605),Jul-2024,Requirements Engineering,Release 14 | (14.0.1),End of Life,39,F,F39
Release 16 | (Build 14.0.2.33605),Jul-2024,Systems Architecture,Release 14 | (14.0.1),End of Life,39,G,G39
Release 16 | (Build 14.0.2.33605),Jul-2024,Simulation Management,Release 14 | (14.0.1),End of Life,39,H,H39
Release 16 | (Build 14.0.2.33605),Jul-2024,Component Engineering,Release 14 | (14.0.1),End of Life,39,I,I39
Release 16 | (Build 14.0.2.33605),Jul-2024,Technical Documentation,Release 14 | (14.0.1),End of Life,39,J,J39
Release 16 | (Build 14.0.2.33605),Jul-2024,Quality Management System,Release 14 | (14.0.1),End of Life,39,K,K39
Release 16 | (Build 14.0.2.33605),Jul-2024,Process Quality Binding,Release 14 | (14.0.1),End of Life,39,L,L39
Release 16 | (Build 14.0.2.33605),Jul-2024,Manufacturing Process Planning,Release 14 | (14.0.1),End of Life,39,M,M39
Release 16 | (Build 14.0.2.33605),Jul-2024,Digital Twin Core,,End of Life,39,N,N39
Release 16 | (Build 14.0.2.33605),Jul-2024,Unified Change Management,,End of Life,39,O,O39
Release 16 | (Build 14.0.2.33605),Jul-2024,Variant Management,,End of Life,39,P,P39
Release 16 | (Build 14.0.2.33605),Jul-2024,High Tech Electronics,,End of Life,39,Q,Q39
Release 16 | (Build 14.0.2.33605),Jul-2024,Supplier Management,,End of Life,39,R,R39
Release 16 | (Build 14.0.2.33605),Jul-2024,Aras ProAppDesigner,,End of Life,39,S,S39
Release 16 | (Build 14.0.2.33605),Jul-2024,Aras Portal,,End of Life,39,T,T39
Release 16 | (Build 14.0.2.33605),Jul-2024,Office Connector,Release 14 | (14.0.1),End of Life,39,U,U39
Release 16 | (Build 14.0.2.33605),Jul-2024,Office Productivity Connector,Release 14 | (14.0.0.14),End of Life,39,V,V39
Release 16 | (Build 14.0.2.33605),Jul-2024,Workspace Productivity Connector,,End of Life,39,W,W39
Release 16 | (Build 14.0.2.33605),Jul-2024,Enterprise Search,Release 14 (14.0.1),End of Life,39,X,X39
Release 16 | (Build 14.0.2.33605),Jul-2024,3D Visualization,Release 14 (14.0.1),End of Life,39,Y,Y39
Release 16 | (Build 14.0.2.33605),Jul-2024,Process Engine,Release 18 | (14.0.1),End of Life,39,Z,Z39
Release 16 | (Build 14.0.2.33605),Jul-2024,Event Handling Framework,,End of Life,39,AA,AA39
Release 16 | (Build 14.0.2.33605),Jul-2024,Reporting,,End of Life,39,AB,AB39
Release 16 | (Build 14.0.2.33605),Jul-2024,OAuth Registry,,End of Life,39,AC,AC39
