release_build,eol_date,component,cell_value,status,source_row,source_component_col,source_cell
Release 20 | (Build 14.0.6.34944),Dec-2025 4,3D Visualization,Release 14 (14.0.1),End of Life,120,Y,Y120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Process Engine,Release 18 | (14.0.1),End of Life,120,Z,Z120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Event Handling Framework,,End of Life,120,AA,AA120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Reporting,,End of Life,120,AB,AB120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,OAuth Registry,,End of Life,120,AC,AC120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,AI Assistant,,End of Life,120,AD,AD120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Import Manager,,End of Life,120,AE,AE120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Workflow UI,,End of Life,120,AF,AF120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,IOM SDK,15.0.1,End of Life,120,AG,AG120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Package Import/Export Utility,15.0.0,End of Life,120,AH,AH120
Release 20 | (Build 14.0.6.34944),Dec-2025 4,3D Visualization,Release 19 (14.0.2)[1],End of Life,123,Y,Y123
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Enterprise Search,Release 20 (14.0.2),End of Life,126,X,X126
Release 20 | (Build 14.0.6.34944),Dec-2025 4,3D Visualization,Release 21 (14.0.3),End of Life,126,Y,Y126
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Office Connector,Release 20 (14.0.2),End of Life,128,U,U128
Release 20 | (Build 14.0.6.34944),Dec-2025 4,3D Visualization,Release 26 (14.0.4),End of Life,129,Y,Y129
Release 20 | (Build 14.0.6.34944),Dec-2025 4,Enterprise Search,Release 32 (14.0.3),End of Life,132,X,X132
Release 20 | (Build 14.0.6.34944),Dec-2025 4,3D Visualization,Release 29 (14.0.5),End of Life,132,Y,Y132
Release 20 | (Build 14.0.6.34944),Dec-2025 4,3D Visualization,Release 31 (14.0.6),End of Life,135,Y,Y135
Release 20 | (Build 14.0.6.34944),Dec-2025 4,3D Visualization,Release 33 (14.0.7),End of Life,138,Y,Y138
Release 20 | (Build 14.0.6.34944),Dec-2025 4,3D Visualization,Release 35 (14.0.8),End of Life,141,Y,Y141
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Product Engineering,Release 14 | (14.0.1),Certified,144,D,D144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Program Management,Release 14 | (14.0.1),Supported,144,E,E144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Requirements Engineering,Release 14 | (14.0.1),Supported,144,F,F144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Systems Architecture,Release 14 | (14.0.1),Supported,144,G,G144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Simulation Management,Release 14 | (14.0.1),Supported,144,H,H144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Component Engineering,Release 14 | (14.0.1),Supported,144,I,I144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Technical Documentation,Release 14 | (14.0.1),Supported,144,J,J144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Quality Management System,Release 14 | (14.0.1),Supported,144,K,K144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Process Quality Binding,Release 14 | (14.0.1),Supported,144,L,L144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Manufacturing Process Planning,Release 19 | (14.0.2),Supported,144,M,M144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Digital Twin Core,Release 20 | (14.0.1),Supported,144,N,N144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Office Connector,Release 14 (14.0.1),Supported,144,U,U144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Office Productivity Connector,Release 14 | (14.0.0.14),Certified,144,V,V144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Enterprise Search,Release 14 (14.0.1),Supported,144,X,X144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,3D Visualization,Release 14 (14.0.1),Supported,144,Y,Y144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Process Engine,Release 18 | (14.0.1),Supported,144,Z,Z144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,IOM SDK,15.0.1,Certified,144,AG,AG144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Package Import/Export Utility,15.0.0,Certified,144,AH,AH144
Release 21 | (Build 14.0.7.35492),Mar-2026 4,3D Visualization,Release 21 (14.0.3),Certified,147,Y,Y147
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Enterprise Search,Release 20 (14.0.2),Supported,149,X,X149
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Office Connector,Release 20 (14.0.2),Supported,150,U,U150
Release 21 | (Build 14.0.7.35492),Mar-2026 4,3D Visualization,Release 26 (14.0.4),Certified,150,Y,Y150
Release 21 | (Build 14.0.7.35492),Mar-2026 4,3D Visualization,Release 29 (14.0.5),Certified,153,Y,Y153
Release 21 | (Build 14.0.7.35492),Mar-2026 4,Enterprise Search,Release 32 (14.0.3),Certified,154,X,X154
Release 21 | (Build 14.0.7.35492),Mar-2026 4,3D Visualization,Release 31 (14.0.6),Certified,156,Y,Y156
Release 21 | (Build 14.0.7.35492),Mar-2026 4,3D Visualization,Release 33 (14.0.7),Certified,159,Y,Y159
Release 21 | (Build 14.0.7.35492),Mar-2026 4,3D Visualization,Release 35 (14.0.8),Certified,162,Y,Y162
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Product Engineering,Release 14 | (14.0.1),Certified,165,D,D165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Program Management,Release 14 | (14.0.1),Supported,165,E,E165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Requirements Engineering,Release 14 | (14.0.1),Supported,165,F,F165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Systems Architecture,Release 14 | (14.0.1),Supported,165,G,G165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Simulation Management,Release 14 | (14.0.1),Supported,165,H,H165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Component Engineering,Release 14 | (14.0.1),Supported,165,I,I165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Technical Documentation,Release 14 | (14.0.1),Supported,165,J,J165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Quality Management System,Release 14 | (14.0.1),Supported,165,K,K165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Process Quality Binding,Release 14 | (14.0.1),Supported,165,L,L165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Manufacturing Process Planning,Release 19 | (14.0.2),Supported,165,M,M165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Digital Twin Core,Release 20 | (14.0.1),Supported,165,N,N165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Variant Management,Release 22 | (14.0.1),Certified,165,P,P165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Supplier Management,Release 22 | (14.0.8.1.1),End of Life,165,R,R165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Aras ProAppDesigner,Release 14 | (14.14.22),Certified,165,S,S165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Aras Portal,Release 22 | (14.0.8.1),End of Life,165,T,T165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Office Connector,Release 14 (14.0.1),Supported,165,U,U165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Office Productivity Connector,Release 22 | (14.0.0.22),Certified,165,V,V165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Enterprise Search,Release 14 (14.0.1),Supported,165,X,X165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,3D Visualization,Release 14 (14.0.1),Supported,165,Y,Y165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Process Engine,Release 18 | (14.0.1),Supported,165,Z,Z165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,IOM SDK,15.0.1,Certified,165,AG,AG165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Package Import/Export Utility,15.0.0,Certified,165,AH,AH165
Release 22 | (Build 14.0.8.35675),Jun-2026 4,3D Visualization,Release 21 (14.0.3),Certified,168,Y,Y168
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Enterprise Search,Release 20 (14.0.2),Supported,170,X,X170
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Office Connector,Release 20 (14.0.2),Supported,171,U,U171
Release 22 | (Build 14.0.8.35675),Jun-2026 4,3D Visualization,Release 26 (14.0.4),Certified,171,Y,Y171
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Component Engineering,Release 22 | (14.0.2),Certified,174,I,I174
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Aras Portal,Release 14 | (14.14.22),Certified,174,T,T174
Release 22 | (Build 14.0.8.35675),Jun-2026 4,3D Visualization,Release 29 (14.0.5),Certified,174,Y,Y174
Release 22 | (Build 14.0.8.35675),Jun-2026 4,Enterprise Search,Release 32 (14.0.3),Certified,175,X,X175
Release 22 | (Build 14.0.8.35675),Jun-2026 4,3D Visualization,Release 31 (14.0.6),Certified,177,Y,Y177
Release 22 | (Build 14.0.8.35675),Jun-2026 4,3D Visualization,Release 33 (14.0.7),Certified,180,Y,Y180
Release 22 | (Build 14.0.8.35675),Jun-2026 4,3D Visualization,Release 35 (14.0.8),Certified,183,Y,Y183
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Product Engineering,Release 14 | (14.0.1),Certified,186,D,D186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Program Management,Release 14 | (14.0.1),Supported,186,E,E186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Requirements Engineering,Release 14 | (14.0.1),Supported,186,F,F186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Systems Architecture,Release 14 | (14.0.1),Supported,186,G,G186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Simulation Management,Release 14 (14.0.1),Supported,186,H,H186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Component Engineering,Release 14 | (14.0.1),Supported,186,I,I186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Technical Documentation,Release 14 | (14.0.1),Supported,186,J,J186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Quality Management System,Release 14 | (14.0.1),Supported,186,K,K186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Process Quality Binding,Release 14 | (14.0.1),Supported,186,L,L186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Manufacturing Process Planning,Release 19 | (14.0.2),Supported,186,M,M186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Digital Twin Core,Release 20 | (14.0.1),Supported,186,N,N186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Variant Management,Release 22 | (14.0.1),Supported,186,P,P186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Supplier Management,Release 22 | (14.0.8.1.1),End of Life,186,R,R186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Aras ProAppDesigner,Release 14 | (14.14.22),Certified,186,S,S186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Aras Portal,Release 22 | (14.0.8.1.1),End of Life,186,T,T186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Office Connector,Release 14 (14.0.1),Supported,186,U,U186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Office Productivity Connector,Release 22 | (14.0.0.22),Certified,186,V,V186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Enterprise Search,Release 14 (14.0.1),Supported,186,X,X186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,3D Visualization,Release 14 (14.0.1),Supported,186,Y,Y186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Process Engine,Release 18 | (14.0.1),Supported,186,Z,Z186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,IOM SDK,15.0.1,Certified,186,AG,AG186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Package Import/Export Utility,15.0.0,Certified,186,AH,AH186
Release 23 | (Build 14.0.9.36073),Jun-2026 4,3D Visualization,Release 21 (14.0.3),Supported,189,Y,Y189
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Enterprise Search,Release 20 (14.0.2),Supported,191,X,X191
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Office Connector,Release 20 (14.0.2),Supported,192,U,U192
Release 23 | (Build 14.0.9.36073),Jun-2026 4,3D Visualization,Release 26 (14.0.4),Certified,192,Y,Y192
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Simulation Management,Release 23 (14.0.2),Certified,195,H,H195
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Component Engineering,Release 22 | (14.0.2),Certified,195,I,I195
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Aras Portal,Release 14 | (14.14.22),Certified,195,T,T195
Release 23 | (Build 14.0.9.36073),Jun-2026 4,3D Visualization,Release 29 (14.0.5),Certified,195,Y,Y195
Release 23 | (Build 14.0.9.36073),Jun-2026 4,Enterprise Search,Release 32 (14.0.3),Certified,196,X,X196
Release 23 | (Build 14.0.9.36073),Jun-2026 4,3D Visualization,Release 31 (14.0.6),Certified,198,Y,Y198
Release 23 | (Build 14.0.9.36073),Jun-2026 4,3D Visualization,Release 33 (14.0.7),Certified,201,Y,Y201
Release 23 | (Build 14.0.9.36073),Jun-2026 4,3D Visualization,Release 35 (14.0.8),Certified,204,Y,Y204
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Product Engineering,Release 14 | (14.0.1),Certified,207,D,D207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Program Management,Release 14 | (14.0.1),Supported,207,E,E207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Requirements Engineering,Release 14 | (14.0.1),Supported,207,F,F207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Systems Architecture,Release 14 | (14.0.1),Supported,207,G,G207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Simulation Management,Release 14 (14.0.1),Supported,207,H,H207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Component Engineering,Release 14 | (14.0.1),Supported,207,I,I207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Technical Documentation,Release 14 | (14.0.1),Supported,207,J,J207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Quality Management System,Release 14 | (14.0.1),Supported,207,K,K207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Process Quality Binding,Release 14 | (14.0.1),Supported,207,L,L207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Manufacturing Process Planning,Release 19 | (14.0.2),Supported,207,M,M207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Digital Twin Core,Release 20 | (14.0.1),Supported,207,N,N207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Variant Management,Release 22 | (14.0.1),Supported,207,P,P207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Supplier Management,Release 22 | (14.0.8.1.1),End of Life,207,R,R207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Aras ProAppDesigner,Release 14 | (14.14.22),Certified,207,S,S207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Aras Portal,Release 22 | (14.0.8.1.1),End of Life,207,T,T207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Office Connector,Release 14 (14.0.1),Supported,207,U,U207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Office Productivity Connector,Release 22 | (14.0.0.22),Certified,207,V,V207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Enterprise Search,Release 14 (14.0.1),Supported,207,X,X207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,3D Visualization,Release 14 (14.0.1),Supported,207,Y,Y207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Process Engine,Release 18 | (14.0.1),Supported,207,Z,Z207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,IOM SDK,15.0.1,Certified,207,AG,AG207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Package Import/Export Utility,15.0.0,Certified,207,AH,AH207
Release 24 | (Build 14.0.10.36415),Jun-2026 4,3D Visualization,Release 21 (14.0.3),Supported,210,Y,Y210
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Office Connector,Release 20 (14.0.2),Supported,211,U,U211
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Enterprise Search,Release 20 (14.0.2),Supported,212,X,X212
Release 24 | (Build 14.0.10.36415),Jun-2026 4,3D Visualization,Release 26 (14.0.4),Certified,213,Y,Y213
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Office Connector,Release 24 (14.0.3),Certified,215,U,U215
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Simulation Management,Release 23 (14.0.2),Supported,216,H,H216
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Component Engineering,Release 22 | (14.0.2),Certified,216,I,I216
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Aras Portal,Release 14 | (14.14.22),Certified,216,T,T216
Release 24 | (Build 14.0.10.36415),Jun-2026 4,3D Visualization,Release 29 (14.0.5),Certified,216,Y,Y216
Release 24 | (Build 14.0.10.36415),Jun-2026 4,Enterprise Search,Release 32 (14.0.3),Certified,217,X,X217
Release 24 | (Build 14.0.10.36415),Jun-2026 4,3D Visualization,Release 31 (14.0.6),Certified,219,Y,Y219
Release 24 | (Build 14.0.10.36415),Jun-2026 4,3D Visualization,Release 33 (14.0.7),Certified,222,Y,Y222
Release 24 | (Build 14.0.10.36415),Jun-2026 4,3D Visualization,Release 35 (14.0.8),Certified,225,Y,Y225
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Product Engineering,Release 14 | (14.0.1),Certified,228,D,D228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Program Management,Release 14 | (14.0.1),Supported,228,E,E228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Requirements Engineering,Release 14 | (14.0.1),Supported,228,F,F228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Systems Architecture,Release 14 | (14.0.1),Supported,228,G,G228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Simulation Management,Release 14 (14.0.1),Supported,228,H,H228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Component Engineering,Release 14 | (14.0.1),Supported,228,I,I228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Technical Documentation,Release 14 | (14.0.1),Supported,228,J,J228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Quality Management System,Release 14 | (14.0.1),Supported,228,K,K228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Process Quality Binding,Release 14 | (14.0.1),Supported,228,L,L228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Manufacturing Process Planning,Release 19 | (14.0.2),Supported,228,M,M228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Digital Twin Core,Release 20 | (14.0.1),Supported,228,N,N228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Variant Management,Release 22 | (14.0.1),Supported,228,P,P228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Supplier Management,Release 22 | (14.0.8.1.1),End of Life,228,R,R228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Aras ProAppDesigner,Release 14 | (14.14.22),Certified,228,S,S228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Aras Portal,Release 22 | (14.0.8.1.1),End of Life,228,T,T228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Office Connector,Release 14 (14.0.1),Supported,228,U,U228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Office Productivity Connector,Release 22 | (14.0.0.22),Certified,228,V,V228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Enterprise Search,Release 14 (14.0.1),Supported,228,X,X228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,3D Visualization,Release 14 (14.0.1),Supported,228,Y,Y228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Process Engine,Release 18 | (14.0.1),Supported,228,Z,Z228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,IOM SDK,15.0.1,Certified,228,AG,AG228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Package Import/Export Utility,15.0.0,Certified,228,AH,AH228
Release 25 | (Build 14.0.11.36751),Jun-2026 4,3D Visualization,Release 21 (14.0.3),Supported,231,Y,Y231
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Office Connector,Release 20 (14.0.2),Supported,232,U,U232
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Enterprise Search,Release 20 (14.0.2),Supported,233,X,X233
Release 25 | (Build 14.0.11.36751),Jun-2026 4,3D Visualization,Release 26 (14.0.4),Certified,234,Y,Y234
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Office Connector,Release 24 (14.0.3),Supported,236,U,U236
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Simulation Management,Release 23 (14.0.2),Supported,237,H,H237
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Component Engineering,Release 22 | (14.0.2),Certified,237,I,I237
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Aras Portal,Release 14 | (14.14.22),Certified,237,T,T237
Release 25 | (Build 14.0.11.36751),Jun-2026 4,3D Visualization,Release 29 (14.0.5),Certified,237,Y,Y237
Release 25 | (Build 14.0.11.36751),Jun-2026 4,Enterprise Search,Release 32 (14.0.3),Certified,238,X,X238
Release 25 | (Build 14.0.11.36751),Jun-2026 4,3D Visualization,Release 31 (14.0.6),Certified,240,Y,Y240
Release 25 | (Build 14.0.11.36751),Jun-2026 4,3D Visualization,Release 33 (14.0.7),Certified,243,Y,Y243
Release 25 | (Build 14.0.11.36751),Jun-2026 4,3D Visualization,Release 35 (14.0.8),Certified,246,Y,Y246
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Product Engineering,Release 14 | (14.0.1),Certified,249,D,D249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Program Management,Release 14 | (14.0.1),Supported,249,E,E249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Requirements Engineering,Release 14 | (14.0.1),Supported,249,F,F249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Systems Architecture,Release 14 | (14.0.1),Supported,249,G,G249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Simulation Management,Release 14 (14.0.1),Supported,249,H,H249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Component Engineering,Release 14 | (14.0.1),Supported,249,I,I249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Technical Documentation,Release 14 | (14.0.1),Supported,249,J,J249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Quality Management System,Release 14 | (14.0.1),Supported,249,K,K249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Process Quality Binding,Release 14 | (14.0.1),Supported,249,L,L249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Manufacturing Process Planning,Release 19 | (14.0.2),Supported,249,M,M249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Digital Twin Core,Release 20 | (14.0.1),Supported,249,N,N249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Variant Management,Release 22 | (14.0.1),Supported,249,P,P249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Supplier Management,Release 22 | (14.0.8.1.1),End of Life,249,R,R249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Aras ProAppDesigner,Release 14 | (14.14.22),Certified,249,S,S249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Aras Portal,Release 22 | (14.0.8.1.1),End of Life,249,T,T249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Office Connector,Release 14 (14.0.1),Supported,249,U,U249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Office Productivity Connector,Release 22 | (14.0.0.22),Certified,249,V,V249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Enterprise Search,Release 14 (14.0.1),Supported,249,X,X249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,3D Visualization,Release 14 (14.0.1),Supported,249,Y,Y249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Process Engine,Release 18 | (14.0.1),Supported,249,Z,Z249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,IOM SDK,15.0.1,Certified,249,AG,AG249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Package Import/Export Utility,15.0.0,Certified,249,AH,AH249
Release 26 | (Build 14.0.12.36913),Jun-2026 4,3D Visualization,Release 21 (14.0.3),Supported,252,Y,Y252
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Office Connector,Release 20 (14.0.2),Supported,253,U,U253
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Enterprise Search,Release 20 (14.0.2),Supported,254,X,X254
Release 26 | (Build 14.0.12.36913),Jun-2026 4,3D Visualization,Release 26 (14.0.4),Certified,255,Y,Y255
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Office Connector,Release 24 (14.0.3),Supported,257,U,U257
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Simulation Management,Release 23 (14.0.2),Supported,258,H,H258
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Component Engineering,Release 22 | (14.0.2),Certified,258,I,I258
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Aras Portal,Release 14 | (14.14.22),Certified,258,T,T258
Release 26 | (Build 14.0.12.36913),Jun-2026 4,3D Visualization,Release 29 (14.0.5),Certified,258,Y,Y258
Release 26 | (Build 14.0.12.36913),Jun-2026 4,Enterprise Search,Release 32 (14.0.3),Certified,259,X,X259
Release 26 | (Build 14.0.12.36913),Jun-2026 4,3D Visualization,Release 31 (14.0.6),Certified,261,Y,Y261
Release 26 | (Build 14.0.12.36913),Jun-2026 4,3D Visualization,Release 33 (14.0.7),Certified,264,Y,Y264
Release 26 | (Build 14.0.12.36913),Jun-2026 4,3D Visualization,Release 35 (14.0.8),Certified,267,Y,Y267
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Product Engineering,Release 14 | (14.0.1),Certified,270,D,D270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Program Management,Release 14 | (14.0.1),Supported,270,E,E270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Requirements Engineering,Release 14 | (14.0.1),Supported,270,F,F270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Systems Architecture,Release 14 | (14.0.1),Supported,270,G,G270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Simulation Management,Release 14 (14.0.1),Supported,270,H,H270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Component Engineering,Release 14 | (14.0.1),Supported,270,I,I270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Technical Documentation,Release 14 | (14.0.1),Supported,270,J,J270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Quality Management System,Release 14 | (14.0.1),Supported,270,K,K270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Process Quality Binding,Release 14 | (14.0.1),Supported,270,L,L270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Manufacturing Process Planning,Release 19 | (14.0.2),Supported,270,M,M270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Digital Twin Core,Release 20 | (14.0.1),Supported,270,N,N270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Variant Management,Release 22 | (14.0.1),Supported,270,P,P270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Supplier Management,Release 27 | (14.0.8.1.1),End of Life,270,R,R270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Aras ProAppDesigner,Release 14 | (14.14.27),Certified,270,S,S270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Aras Portal,Release 27 | (14.0.8.1.1),End of Life,270,T,T270
